message-id,vendor-category,vendor-group,vendor-severity
574,System,Settings,warning
575,System,Hardware,error
576,System,Hardware,alert
577,System,Hardware,alert
578,System,Hardware,alert
579,System,Hardware,alert
580,Network,TCP,alert
581,Network,Fail Over and Load Balancing,warning
582,Network,Fail Over and Load Balancing,warning
583,Users,Authentication Access,error
584,Network,Fail Over and Load Balancing,alert
585,Network,Fail Over and Load Balancing,alert
586,Network,Fail Over and Load Balancing,alert
587,VPN,VPN IKE,warning
588,Network,DHCP Client,info
589,Network,DHCP Client,info
590,Network,Network Access,notice
591,3G/4G Modem and Module,PPP Dial-Up,error
592,3G/4G Modem and Module,PPP Dial-Up,error
593,Network,PPPoE,info
594,Network,PPPoE,info
595,Network,PPPoE,info
596,Network,PPTP,debug
597,Network,ICMP,info
598,Network,ICMP,info
599,System,Restart,error
600,System,Restart,error
601,System,Restart,error
602,Network,DNS,info
603,VPN,L2TP Server,error
605,VPN,VPN IKE,warning
606,Security Services,Attacks,alert
607,VPN,VPN IKE,info
608,Security Services,IPS,alert
609,Security Services,IPS,alert
610,Security Services,Crypto Test,error
614,Security Services,General,warning
615,Wireless,WLAN IDS,warning
616,VPN,VPN IKE,error
617,Wireless,WLAN,info
618,Network,BOOTP,debug
619,Network,BOOTP,info
620,Network,BOOTP,info
622,VoIP,Call,info
623,VoIP,Call,info
624,VoIP,H.323,debug
625,VoIP,H.323,debug
626,VoIP,H.323,debug
627,VoIP,H.323,debug
628,VoIP,H.323,debug
629,VoIP,H.323,debug
630,VoIP,H.323,debug
631,VoIP,H.323,debug
632,VoIP,H.323,debug
633,VoIP,H.323,debug
634,VoIP,H.323,debug
635,VoIP,H.323,debug
636,VoIP,H.323,debug
637,VoIP,SIP,debug
638,VoIP,SIP,debug
639,VoIP,SIP,warning
640,VoIP,H.323,debug
641,VoIP,H.323,debug
642,VoIP,H.323,debug
643,VoIP,SIP,debug
644,VoIP,SIP,debug
645,VoIP,SIP,warning
646,Firewall,Access Rules,alert
647,Firewall,Access Rules,alert
648,VPN,VPN IPsec,error
651,Network,IPComp,debug
652,Network,IPComp,notice
653,Network,IPComp,debug
654,Log,General,critical
655,Log,Syslog,critical
656,Log,E-Mail,warning
657,Log,Syslog,info
658,VPN,VPN IKE,warning
659,VPN,VPN Client,error
660,VPN,VPN Client,error
661,VPN,VPN IKE,error
662,Wireless,SonicPoint,error
665,3G/4G Modem and Module,PPP Dial-Up,info
666,3G/4G Modem and Module,PPP Dial-Up,info
667,Wireless,SonicPoint,info
668,High Availability,State,info
669,High Availability,State,error
670,High Availability,General,error
671,High Availability,State,error
672,High Availability,State,error
674,High Availability,Monitoring,info
675,High Availability,Monitoring,error
676,Firewall Settings,Multicast,info
677,Firewall Settings,Multicast,info
682,Firewall Settings,Multicast,info
683,Firewall Settings,Multicast,notice
690,Firewall Settings,Multicast,notice
694,Firewall Settings,Multicast,warning
701,Firewall Settings,Multicast,debug
706,Network,Network Monitor,alert
707,Network,Network Monitor,alert
708,Network,TCP,debug
709,Network,TCP,debug
710,Network,TCP,debug
713,Network,TCP,debug
714,Network,Network Access,notice
719,VPN,VPN IPsec,error
720,Network,PPPoE,info
721,Network,PPPoE,info
722,Network,PPPoE,info
723,Network,PPPoE,info
724,Wireless,Wireless Access,info
725,Wireless,Wireless Access,info
726,Wireless,Wireless Access,info
727,Wireless,SonicPoint,info
728,Users,Authentication Access,info
729,Users,Authentication Access,info
732,Wireless,WLAN,warning
733,SSLVPN,General,info
734,Firewall,Access Rules,info
735,Firewall,Access Rules,info
737,Log,E-mail,warning
738,Network,PPPoE,info
744,Users,Radius Authentication,warning
745,Users,Radius Authentication,info
746,Users,Radius Authentication,warning
747,Users,Radius Authentication,warning
748,Users,Radius Authentication,warning
749,Users,Radius Authentication,warning
750,Users,Radius Authentication,warning
751,Users,Radius Authentication,warning
752,Users,Radius Authentication,warning
753,Users,Radius Authentication,warning
754,Users,Radius Authentication,warning
755,Users,Radius Authentication,warning
756,Users,Radius Authentication,warning
757,Users,Radius Authentication,warning
758,Users,Radius Authentication,warning
759,Users,Authentication Access,info
760,Network,TCP,notice
766,Security Services,General,warning
773,Network,Dynamic DNS,error
774,Network,Dynamic DNS,error
776,Network,Dynamic DNS,info
777,Network,Dynamic DNS,warning
778,Network,Dynamic DNS,info
779,Network,Dynamic DNS,info
780,Network,Dynamic DNS,info
781,Network,Dynamic DNS,info
782,Network,Dynamic DNS,info
783,Network,Dynamic DNS,info
785,Network,Dynamic DNS,info
786,Network,Dynamic DNS,info
789,Security Services,IDP,alert
790,Security Services,IDP,alert
791,Firewall,Application Firewall,info
793,Security Services,Anti-Spyware,alert
794,Security Services,Anti-Spyware,alert
795,Security Services,Anti-Spyware,alert
796,Security Services,Anti-Spyware,warning
797,Security Services,RBL-Filter,notice
798,Security Services,RBL-Filter,notice
799,Security Services,RBL-Filter,notice
800,Security Services,RBL-Filter,error
805,System,GMS,info
806,System,GMS,info
809,Security Services,GAV,alert
810,Security Services,GAV,warning
811,3G/4G Modem and Module,PPP Dial-Up,info
815,Network,ARP,warning
817,Users,Authentication Access,info
818,Users,Authentication Access,info
819,Users,Authentication Access,info
820,Users,Authentication Access,info
821,Users,Authentication Access,info
822,Users,Authentication Access,info
824,High Availability,General,error
825,High Availability,State,info
826,High Availability,State,error
829,High Availability,State,alert
830,High Availability,State,notice
832,Network,DHCP Server,info
833,Network,DHCP Server,warning
834,Network,DHCP Server,warning
835,Network,DHCP Server,info
840,Network,Advanced Routing,info
841,Network,Advanced Routing,notice
842,Network,Advanced Routing,debug
843,Network,Advanced Routing,info
844,Network,Advanced Routing,debug
845,Network,Advanced Routing,info
846,Network,Advanced Routing,debug
847,Network,Interfaces,warning
848,VPN,VPN PKI,info
849,VPN,VPN PKI,error
850,VPN,VPN PKI,info
852,VPN,VPN PKI,info
853,VPN,VPN PKI,error
854,VPN,VPN PKI,error
856,Firewall Settings,Flood Protection,warning
857,Firewall Settings,Flood Protection,warning
858,Firewall Settings,Flood Protection,warning
859,Firewall Settings,Flood Protection,alert
860,Firewall Settings,Flood Protection,alert
861,Firewall Settings,Flood Protection,alert
862,Firewall Settings,Flood Protection,warning
863,Firewall Settings,Flood Protection,warning
864,Firewall Settings,Flood Protection,alert
865,Firewall Settings,Flood Protection,alert
866,Firewall Settings,Flood Protection,warning
867,Firewall Settings,Flood Protection,alert
868,Firewall Settings,Flood Protection,warning
869,Firewall Settings,Flood Protection,debug
872,Security Services,General,notice
874,VPN,VPN PKI,alert
875,VPN,VPN PKI,alert
876,VPN,VPN PKI,alert
877,VPN,VPN PKI,alert
878,VPN,VPN PKI,alert
879,Wireless,RF Monitoring,warning
880,Network,Dynamic Address Objects,info
881,System,Time,notice
882,Network,Network Access,debug
